table_name	column_name	data_type	ordinal_position
4hk_am_list_p420	unit	character varying	1
4hk_am_list_p420	created_timestamp	timestamp without time zone	2
4hk_am_list_p420	updated_timestamp	timestamp without time zone	3
4hk_am_list_p420	asset_id	character varying	4
4hk_am_list_p420	descr	character varying	5
4hk_am_list_p420	dept	character varying	6
4hk_am_list_p420	sum_cost	double precision	7
4hk_am_list_p420	accum_depr	double precision	8
4hk_am_list_p420	sum_nbv	double precision	9
4hk_am_list_p420	category	character varying	10
4hk_am_list_p420	run_id	character varying	11
4hk_am_list_p420	in_service_dt	timestamp without time zone	12
4hk_am_list_p420	life	double precision	13
4hk_am_list_p420	book_name	character varying	14
4hk_am_list_p420	profile_id	character varying	15
4hk_am_list_p420	location	character varying	16
4hk_am_list_p420	location_name	character varying	17
4hk_am_list_p420	brand_name	character varying	18
4hk_am_list_p420	department_type	character varying	19
4hk_cip_data_p420	location	character varying	1
4hk_cip_data_p420	created_timestamp	timestamp without time zone	2
4hk_cip_data_p420	updated_timestamp	timestamp without time zone	3
4hk_cip_data_p420	project_id	character varying	4
4hk_cip_data_p420	concept_id	character varying	5
4hk_cip_data_p420	concept_brand	character varying	6
4hk_cip_data_p420	ap_dept_id	character varying	7
4hk_cip_data_p420	ap_gl_bu	character varying	8
4hk_cip_data_p420	concept_status	character varying	9
4hk_cip_data_p420	turnover_date	timestamp without time zone	10
4hk_cip_data_p420	run_currency	character varying	11
4hk_cip_data_p420	total_authorized_amount	double precision	12
4hk_cip_data_p420	funded_projects_forecasted_amount_at_completion	double precision	13
4hk_cip_data_p420	total_actuals_others	double precision	14
4hk_cip_data_p420	total_net_cip_balance	double precision	15
4hk_cip_data_p420	closed_costs	double precision	16
4hk_cip_data_p420	location_new	character varying	17
4hk_cip_data_p420	location_name	character varying	18
4hk_cip_data_p420	brand_name	character varying	19
4hk_cip_data_p420	department_type	character varying	20
DLH	id	uuid	1
DLH	created_timestamp	timestamp with time zone	2
DLH	updated_timestamp	timestamp with time zone	3
DLH	created_by	character varying	4
DLH	updated_by	character varying	5
DLH	budget_year	integer	6
DLH	Region	character varying	7
DLH	Location	character varying	8
DLH	Brand	character varying	9
DLH	value	double precision	10
DLH	TimePeriod	date	11
DLH	TimePeriod_Date	date	12
DLH	HostLocationID	smallint	13
Gross Margin	id	uuid	1
Gross Margin	created_timestamp	timestamp with time zone	2
Gross Margin	updated_timestamp	timestamp with time zone	3
Gross Margin	created_by	character varying	4
Gross Margin	updated_by	character varying	5
Gross Margin	budget_year	integer	6
Gross Margin	Region	character varying	7
Gross Margin	Location	character varying	8
Gross Margin	Brand	character varying	9
Gross Margin	value	double precision	10
Gross Margin	TimePeriod	character varying	11
Gross Margin	TimePeriod_Date	date	12
Gross Margin	HostLocationID	smallint	13
Sales	id	uuid	1
Sales	created_timestamp	timestamp with time zone	2
Sales	updated_timestamp	timestamp with time zone	3
Sales	created_by	character varying	4
Sales	updated_by	character varying	5
Sales	budget_year	integer	6
Sales	Region	character varying	7
Sales	Location	character varying	8
Sales	Brand	character varying	9
Sales	value	numeric	10
Sales	TimePeriod	character varying	11
Sales	TimePeriod_Date	date	12
Sales	HostLocationID	smallint	13
Transactions	id	uuid	1
Transactions	created_timestamp	timestamp with time zone	2
Transactions	updated_timestamp	timestamp with time zone	3
Transactions	created_by	character varying	4
Transactions	updated_by	character varying	5
Transactions	budget_year	integer	6
Transactions	Region	character varying	7
Transactions	Location	character varying	8
Transactions	Brand	character varying	9
Transactions	value	double precision	10
Transactions	TimePeriod	date	11
Transactions	TimePeriod_Date	date	12
Transactions	HostLocationID	smallint	13
car_count	id	bigint	1
car_count	created_by	character varying	2
car_count	updated_by	character varying	3
car_count	created_at	timestamp without time zone	4
car_count	updated_at	timestamp without time zone	5
car_count	camera_id	integer	6
car_count	location	character varying	7
car_count	timestamp	timestamp without time zone	8
car_count	entrance_count	integer	9
car_count	exit_count	integer	10
car_count_plaza_direction	plaza_name	character varying	1
car_count_plaza_direction	created_timestamp	timestamp with time zone	2
car_count_plaza_direction	updated_timestamp	timestamp with time zone	3
car_count_plaza_direction	created_by	character varying	4
car_count_plaza_direction	updated_by	character varying	5
car_count_plaza_direction	entrance_direction	character varying	6
ceridian_employees	employee_id	character varying	1
ceridian_employees	first_name	character varying	2
ceridian_employees	last_name	character varying	3
ceridian_employees	birth_date	date	4
ceridian_employees	hire_date	date	5
ceridian_employees	termination_date	date	6
ceridian_employees	employment_status	character varying	7
ceridian_employees	action	character varying	8
ceridian_employees	action_desc	character varying	9
ceridian_employees	base_rate	numeric	10
ceridian_employees	base_salary	numeric	11
ceridian_employees	daily_rate	numeric	12
ceridian_employees	pay_class	character varying	13
ceridian_employees	job_title	character varying	14
ceridian_employees	department	character varying	15
ceridian_employees	location_id	character varying	16
