old_table	old_column
POS_ORDERPAYMENTS	OrderID
POS_ORDERPAYMENTS	EndDay
POS_ORDERPAYMENTS	PaymentAmount
POS_ORDERPAYMENTS	PaymentTypeName
POS_ORDERPAYMENTS	StoreId
POS_ORDERPAIDOUTS	PaymentAmount
POS_ORDERPAIDOUTS	EndDay
POS_ORDERPAIDOUTS	StoreId
POS_ORDERPAIDOUTS	MenuItemName
NetSuiteLocation_Mapping	LocationName
NetSuiteLocation_Mapping	BrandName
NetSuiteLocation_Mapping	HostLocationID
NetSuiteLocation_Mapping	StoreID
NetSuiteLocation_Mapping	GUID
NetSuiteLocation_Mapping	CTLOCATION
District_Directors	Plaza
District_Directors	District
District_Directors	District_Director
District_Directors	HostLocationID
